ID,CEFR.Top,CEFR.Sub,CEFR,Original Level,Source,Sentence
0,A,A1,A1.1,1,GLOSS,يُعلن مستشفى الجرّاح عن توفر الخدمات العلاجية التالية في بنايتها الواقعة في شارع الزيتون مدينة بغداد للاستفسار والحجز يُرجى الاتصال بالهواتف التالية : 079012324 او الرقم 079023245
1,A,A1,A1.1,1,GLOSS,يقدم مختبر المستشفى المجهز بأحدث أجهزة الفحص المخبري الخدمات التالية: فحص الدم فحص البول فحص بأشعة أكس
2,A,A1,A1.1,1,GLOSS,يقدم قسم الجراحة الذي يشرف عليه الدكتور صباح الساعدي الخدمات التالية: إجراء العمليات الجراحية وبأسعار مناسبة وبأيدي جراحين اخصائيين أكفاء
3,A,A1,A1.1,1,GLOSS,الاطباء الاخصائيون: طبيب عيون
4,A,A1,A1.1,1,GLOSS,طبيب أنف وأذن وحنجرة
5,A,A1,A1.1,1,GLOSS, تتوفر في المستشفى ثلاث سيارات تعمل على مدار الساعة مجهزة بمعدات اسعاف حديثة إذا أردت استدعاء سيارة اسعاف في حالة حدوث حادث اتصل بالرقم التالي 090732345
6,A,A1,A1.1,1,GLOSS, توفر صيدلية المستشفى مختلف انواع الأدوية للوصفات الطبية ولمختلف الأمراض لدينا مجموعة كبيرة من الأعشاب الطبية تقع الصيدلية في الطابق الثاني من المستشفى
7,A,A1,A1.1,1,GLOSS, من مزايا العمل في مستشفى سعد الجراح هي: 
8,A,A1,A1.1,1,GLOSS, النقل اليومي من مكان العمل وإليه
9,A,A1,A1.1,1,GLOSS," المقطع الأول: ""بنت الخير"": ""نادي ""بنت الخير"" هو أشهر موقع زواج اسلامي له خدمات مميزة تسهل عملية ايجاد شريك حياتك، هناك يوجد أكثر من ثلاث مليون عضو و الذين يريدون تحقيق زواج اسلامي "
10,A,A1,A1.1,1,GLOSS, من مختلف الجنسيات في العالم العربي و الاسلامي 
11,A,A1,A1.1,1,GLOSS, اذاً فهذا هو الموقع المناسب لك يا أخي و لك يا أختي اذا كنت تبحث عن شريك الحياة مسلم العقيدة 
12,A,A1,A1.1,1,GLOSS, يمكنك أن تبدأ التعرف من اجل الزواج فالموقع يحتوي على أكبر عدد من المعلومات لمواصفات الشريك و نعلمكم أعزائي أننا نحرص على الحفاظ على خصوصيتكم و شكراً
13,A,A1,A1.1,1,GLOSS," مرحبا بكم في نادي ""وفاق"" "
14,A,A1,A1.1,1,GLOSS, أكبر موقع الصداقة على شبكة الإنترنت
15,A,A1,A1.1,1,GLOSS, نرحب بأكثر من 100000 زائر يوميا من كل بقاع العالم ونحن مخلصون لتحقيق المودة و لسلام بين كل شعوب العالم و نقوم بتقديم مجموعة متنوعة من المعلومات عن مختلف المجتمعات الصد يقة و المرحة مما يشجع التفاعل بين الاصدقاء من جميع الأعمار 
16,A,A1,A1.1,1,GLOSS, والجنسيات في حين أن لدينا فريق المراقبين لضمان سلامة المحتوى لصغار المشاهدين ونقدم كل شيء مجانا تمتع بالمشاركة
17,A,A1,A1.1,1,GLOSS, و شكراً مصر في الأطلس العربي
18,A,A1,A1.1,1,GLOSS, الجزء الأول: الاسم الرسمي: جمهورية مصر العربية
19,A,A1,A1.1,1,GLOSS, الموقع الجغرافي: شمال قارة أفريقيا
